# titre;groupes;users;steps;videos;comment;Musique
Cowboy Madison;d;pc;;https://www.youtube.com/watch?v=uETTR5NIfVQ|https://www.youtube.com/watch?v=RFwSqf3I1OQ;(ntnr);
Cowgirls;;p;;https://www.youtube.com/watch?v=CofKBLWu_zI;
Crazy S;a;p;Crazy_S.pdf;https://www.youtube.com/watch?v=nuV7KoFYyo0;(r3)
Crazy Song;r;pc;Crazy%20Song.pdf;https://www.youtube.com/watch?v=gls3YV_rv0o;(r5)
Cross Country;ir;pc;Cross_Country.pdf;https://www.youtube.com/watch?v=gEipJFdhmk0;(ntnr);Berland feat. Mickey Guyton
Crystal Touch;;c;Crystal%20Touch.pdf;https://www.youtube.com/watch?v=ovFrCDbaxAo|https://www.youtube.com/watch?v=c7viMzZvnYM;
Cut A Rug;;cp;;https://www.youtube.com/watch?v=ESLjbqM8LSw|https://www.youtube.com/watch?v=rb81wRunG7o;
Cyber Drop;;;Cyber_Drop.pdf;https://www.youtube.com/watch?v=7N5f9R1ZY0s;(ntnr);Drop It to the Floor (feat. Nuz Ngatai)
Damn;;p;;https://www.youtube.com/watch?v=wmFQsj-jilo;(r3r6)
Damn EZ;;;;https://www.youtube.com/watch?v=KIg3evLDd14;
Dance Monkey;;cp;Dance%20Monkey.pdf;https://www.youtube.com/watch?v=fJF7vZvGIdI;
Dance Without A Partner;i;cp;Dance_Without_A_Partner.pdf;https://www.youtube.com/watch?v=7jfqSQHp4M4;départ SIDE RIGHT, LEFT SAILOR HEEL, HOLD
Dancin' Violins;;cp;Dancing%20Violins.pdf;https://www.youtube.com/watch?v=TCaikSkieIU;
Day Of The Dead;r;p;;https://www.youtube.com/watch?v=UCAM6wobFNM;(r6)
Daytona Sand;;;Daytona_Sand.pdf;https://www.youtube.com/watch?v=3XR1rTJzmv4|https://www.youtube.com/watch?v=vNaciB8jDl8;(t1, t2);"Daytona Sand" de Orville PECK
Desert Wind;;;Desert%20Wind.pdf;https://www.youtube.com/watch?v=9oGpduOwOks;
Desirable;;cp;Desirable.pdf;https://www.youtube.com/watch?v=zVpsf2Pb8qw;(r3,7)
Dim The Lights;ar;p;Dim_The_Lights.pdf;https://www.youtube.com/watch?v=hrIKwkb_gwo|https://www.youtube.com/watch?v=7IvvbOktcyc;(r3)
Dig Your Heels;;p;;https://www.youtube.com/watch?v=zDM67U7bqeE&list=PLyEOrXN4p89Ry1hEl0gaDTP_wYWcjnLKn&index=3&t=359s;
Ding Dang Darn It;;pc;Ding%20Dang%20Darn%20It.pdf;https://www.youtube.com/watch?v=QH20Ne1eq_M&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=18&t=0s;(r5)
Dirty Old Town;;;;https://www.youtube.com/watch?v=egv3p9NTFI8&list=PLyEOrXN4p89Qbx8U4VSuW6T587EewGypB&index=27&t=0s;
Do It With Style;;cp;Do%20It%20With%20Style.pdf;https://www.youtube.com/watch?v=wyH5l_-c18g|https://www.youtube.com/watch?v=FxeUaO5ljPc&t=2s;(r4)
Doctor Doctor;r;p;Doctor%20Doctor.pdf;https://www.youtube.com/watch?v=Ps06sz-twB8;(r2t5)
Done;;cp;Done.pdf;https://www.youtube.com/watch?v=p7HcEqmYs20|https://www.youtube.com/watch?v=e85fO_-5sKA&t=40s;(r4,9)
Done For Me;;cp;Done%20For%20Me%20Ez.pdf;https://www.youtube.com/watch?v=WHAmMS98SuQ&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=19&t=0s;
Double Devil;r;p;Double_Devil.pdf;https://www.youtube.com/watch?v=fhDf49pexrg;(r2,r4)
Drink Drank Drunk;a;p;Drink%20Drank%20Drunk.pdf;https://www.youtube.com/watch?v=OkFUu4QkYH4&t=213s;(tag 6 comptes en fin de mur 2)
Dust;;pc;Dust.pdf;https://www.youtube.com/watch?v=nre00KINGmg;(r4)
Easy Come Easy Go;;cp;Easy%20Come%20Easy%20Go.pdf;https://www.youtube.com/watch?v=3T4n1dtQyhA&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=20&t=0s;
Easy Dance;;cp;;https://www.youtube.com/watch?v=I1WQ2gBNDb8&fbclid=IwAR1titfj2Gg7bC0ezGLOjc-7eoj4L2rhoCQtJHAdK-UJDXpbN7l33PV31j8;(ntnr)
Elizabeth;r;p;Elizabeth.pdf;https://www.youtube.com/watch?v=UfMjPj9CI4g&t=97s;(ntnr);Elizabeth - Hickman-Dalton Gang
Enjoy The Night;;c;;https://www.youtube.com/watch?v=RAkZ8uU9myQ;
Eyes On You;;pc;Eyes%20On%20You.pdf;https://www.youtube.com/watch?v=ZtHGbz5hj9A&t=60s;(r3t5t8)
Fais Dodo;;p;Fais%20Dodo.pdf;https://www.youtube.com/watch?v=xxg52vzwB6Q&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=21&t=0s;
Faithful Soul;m;p;Faithful%20Soul.pdf;https://www.youtube.com/watch?v=Op_CMHevItw;;"Faith's Song" by Celtic Woman
Family Affair;;;;https://www.youtube.com/watch?v=pb5ApuCeAjA&list=PLyEOrXN4p89Qbx8U4VSuW6T587EewGypB&index=32&t=114s;
Fields Of Athenry;;;Fields%20Of%20Athenry.pdf;https://www.youtube.com/watch?v=A64Q1WNJhvA;
Fingers Crossed;ir;pc;Fingers_Crossed.pdf;https://www.youtube.com/watch?v=rwkJkjDDioE|https://www.youtube.com/watch?v=xTx42L8aY4E|https://www.youtube.com/watch?v=DaGFRDdd7go&t=6s;(t3: suite de kicks)
Fish In The Sea;dr;;:https://www.youtube.com/watch?v=-IIkAIM7-U8;
